OLD_ADDR,longitude,latitude,SBWY_ROUT_LN,SBWY_STNS_NM,ROAD_NM_ADDR,TELNO
서울특별시 서초구 서초동 1366-9 양재역(3호선),127.03327100796304,37.48478871255944,3호선,양재(서초구청),서울특별시 서초구 남부순환로 지하2585(서초동),02-6110-3421
서울특별시 강남구 도곡동 179-2 매봉역(3호선),127.0466459440014,37.48698731740029,3호선,매봉,서울특별시 강남구 남부순환로 지하2744(도곡동),02-6110-3431
서울특별시 강남구 도곡동 339-2 도곡역(3호선),127.05499150159866,37.49071368174434,3호선,도곡,서울특별시 강남구 남부순환로 지하2814(도곡동),02-6110-3441
서울특별시 강남구 대치동 317-3 대치역(3호선),127.0632469772417,37.49451867591994,3호선,대치,서울특별시 강남구 남부순환로 지하2952(대치동),02-6110-3451
서울특별시 강남구 대치동 514-3 학여울역(3호선),127.07179754200895,37.49672331116055,3호선,학여울,서울특별시 강남구 남부순환로 지하3104(대치동),02-6110-3461
서울특별시 강남구 일원동 700-9 대청역(3호선),127.07958695946226,37.493670961743575,3호선,대청,서울특별시 강남구 일원로 지하2(일원동),02-6110-3471
서울특별시 강남구 일원동 717 일원역(3호선),127.08443881200125,37.48405310920885,3호선,일원,서울특별시 강남구 일원로 지하121(일원동),02-6110-3481
서울특별시 강남구 수서동 728 수서역(3호선),127.10040668861537,37.488352701415536,3호선,수서,서울특별시 강남구 광평로 지하270(수서동),02-6110-3491
서울특별시 송파구 가락동 184-23 가락시장역(3호선),127.11823739050217,37.49291656037441,3호선,가락시장,서울특별시 송파구 송파대로 지하257(가락동),02-6110-3501
서울특별시 송파구 가락동 10-15 경찰병원역(3호선),127.12570434843565,37.498357750136385,3호선,경찰병원,서울특별시 송파구 중대로 지하149(가락동),02-6110-3511
서울특별시 송파구 오금동 44-2 오금역(3호선),127.1263953175756,37.503258874591374,3호선,오금,서울특별시 송파구 오금로 지하321(오금동),02-6110-3521
서울특별시 노원구 상계동 111 당고개역(4호선),127.08233104705232,37.671230453856055,4호선,당고개,서울특별시 노원구 상계로 305(상계동),02-6110-4091
서울특별시 노원구 상계동 156-203 상계역(4호선),127.0737420937495,37.66116246599688,4호선,상계,서울특별시 노원구 상계로 182(상계동),02-6110-4101
